cohort,cluster,cell_type,n_cells,n_cluster,n_type,expected,ratio_obs_over_exp,log2_enrichment,hypergeom_p,note
UOP,8,CD8 T cells,190,8047,22976,676.2343164794007,0.2809676991684993,-1.8315238111599064,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,9,CD8 T cells,791,12945,22976,1087.8405898876404,0.7271285952675289,-0.45971756245017903,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,10,CD8 T cells,562,17118,22976,1438.5210674157304,0.39067901939706723,-1.3559443142174472,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,11,CD8 T cells,332,13449,22976,1130.1945224719102,0.29375474168275445,-1.7673159555604172,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,12,CD8 T cells,35,12692,22976,1066.5795880149813,0.03281517890768822,-4.929492891108168,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,13,CD8 T cells,1525,24506,22976,2059.375936329588,0.7405155965442606,-0.4333979733906567,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,14,CD8 T cells,192,6062,22976,509.4236891385768,0.37689648929492736,-1.4077597381986702,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,15,CD8 T cells,40,11933,22976,1002.7965823970037,0.03988844866661516,-4.647885174258959,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,16,CD8 T cells,2215,16865,22976,1417.260065543071,1.5628747707297093,0.6442021834013943,1.2270177435278418e-101,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,17,CD8 T cells,5552,15039,22976,1263.811095505618,4.393061605285867,2.135226730939263,0.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,18,CD8 T cells,1316,4332,22976,364.04213483146066,3.614966164862383,1.8539821439914168,0.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,19,CD8 T cells,22,13442,22976,1129.6062734082398,0.019475812517950844,-5.682172671954227,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,0,Fibroblasts,266,10839,35512,1407.839448735955,0.18894199920227492,-2.4039846662899493,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,1,Fibroblasts,110,13671,35512,1775.6779318820224,0.06194817090699108,-4.0127945040572754,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,2,Fibroblasts,233,9996,35512,1298.345154494382,0.17945921328657616,-2.4782721030699633,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,3,Fibroblasts,5677,14377,35512,1867.3777797284645,3.0400918665881806,1.6041149202046072,0.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,4,Fibroblasts,11199,16988,35512,2206.5113529962546,5.075432757140684,2.343530839039285,0.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,5,Fibroblasts,59,7302,35512,948.4310042134831,0.06220800431226692,-4.006755965710583,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,6,Fibroblasts,6820,23452,35512,3046.0974953183522,2.238930306886724,1.162809620877522,0.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,7,Fibroblasts,253,20353,35512,2643.5793246722847,0.09570357796294368,-3.3852833276245224,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,8,Fibroblasts,1671,8047,35512,1045.1964243913858,1.5987425530784967,0.6769376390682917,1.9833433188665488e-86,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,9,Fibroblasts,307,12945,35512,1681.3803546348315,0.18258807363469845,-2.4533355610548333,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,10,Fibroblasts,29,17118,35512,2223.396594101124,0.013043107143790575,-6.260568598812843,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,11,Fibroblasts,108,13449,35512,1746.843135533708,0.06182581469572142,-4.015646844245915,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,12,Fibroblasts,678,12692,35512,1648.5190777153557,0.41127822490208876,-1.2818134044188332,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,13,Fibroblasts,1930,24506,35512,3182.997834737828,0.6063466267355998,-0.721785328074867,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,14,Fibroblasts,486,6062,35512,787.3717813670412,0.6172433550465867,-0.6960886948160874,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,15,Fibroblasts,1338,11933,35512,1549.935246956929,0.8632618702148798,-0.21212982800690244,0.9999999991749798,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,16,Fibroblasts,3975,16865,35512,2190.5353171816478,1.8146249315506369,0.8596713855160519,0.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,17,Fibroblasts,8,15039,35512,1953.3626228932585,0.004095501729295226,-7.93174408114104,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,18,Fibroblasts,243,4332,35512,562.6681882022472,0.43187087007068425,-1.2113280856400856,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,19,Fibroblasts,122,13442,35512,1745.9339302434457,0.06987664188586382,-3.83904591253068,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,0,Myeloid,1140,10839,25735,1020.2395869908707,1.1173845972418641,0.1601258384921615,4.017201421496849e-05,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,1,Myeloid,71,13671,25735,1286.8064760358145,0.05517535178928018,-4.179832266846057,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,2,Myeloid,443,9996,25735,940.8907566713483,0.4708304304818877,-1.0867205279380283,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,3,Myeloid,605,14377,25735,1353.2599448443352,0.44706857858679383,-1.1614319426771165,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,4,Myeloid,189,16988,25735,1599.0248273642321,0.1181970390738335,-3.080734199532672,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,5,Myeloid,4119,7302,25735,687.3133558637641,5.992899693944618,2.5832542270270293,0.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,6,Myeloid,1461,23452,25735,2207.459986540262,0.661846651313402,-0.5954311089993176,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,7,Myeloid,852,20353,25735,1915.7612615578184,0.44473182389500276,-1.168992450861798,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,8,Myeloid,513,8047,25735,757.4377670002341,0.6772833655122473,-0.5621685321546457,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,9,Myeloid,6024,12945,25735,1218.4704727001404,4.943903143299622,2.305650479478112,0.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,10,Myeloid,13,17118,25735,1611.2613017907304,0.00806821338385773,-6.9535350445681265,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,11,Myeloid,224,13449,25735,1265.9103427844102,0.17694776038191207,-2.4986045931205836,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,12,Myeloid,121,12692,25735,1194.656410931648,0.10128435162846415,-3.3035167990493863,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,13,Myeloid,5793,24506,25735,2306.6695561212546,2.5114130390402045,1.3284993206726932,0.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,14,Myeloid,2069,6062,25735,570.5962151802435,3.6260317628402627,1.8583915626693377,0.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,15,Myeloid,91,11933,25735,1123.2142256261704,0.08101749241046982,-3.6256227572184705,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,16,Myeloid,690,16865,25735,1587.4472400222378,0.43466011506016045,-1.2020403766463004,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,17,Myeloid,893,15039,25735,1415.571837693118,0.6308404675917222,-0.6646528847886203,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,18,Myeloid,362,4332,25735,407.75697858146066,0.8877837020947038,-0.17171987093146465,0.9930845919859204,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,19,Myeloid,62,13442,25735,1265.2514556999063,0.04900211710541215,-4.351012108475494,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,0,Tumor,578,10839,75960,3011.3619206460676,0.1919397319987343,-2.3812747110022268,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,1,Tumor,12556,13671,75960,3798.1666959269664,3.3058054069782288,1.7250018042884134,0.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,2,Tumor,205,9996,75960,2777.1541432584268,0.07381657244256312,-3.7599114399305638,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
