umap1,umap2,cluster,label
1.364958,2.982248,9,CD8 T cells
6.5501423,5.5406094,1,Tumor
9.198931,6.3125477,10,Tumor
8.2392435,7.675067,1,Tumor
4.265347,5.237713,7,CD8 T cells
7.663936,6.5685806,1,Tumor
2.2318814,3.147902,17,CD4 T cells
2.5396352,3.0300317,7,Vessel
-1.1460712,4.6556463,5,Myeloid
8.656614,8.2555895,11,Tumor
8.191052,7.7011333,1,Tumor
6.364537,8.729416,15,Tumor
2.7777421,11.195145,4,Fibroblasts
9.35248,5.319723,10,Tumor
10.340796,6.107745,10,Tumor
7.6958284,5.677406,1,Tumor
7.50147,4.7407465,17,CD8 T cells
9.632563,5.657638,1,Tumor
2.5230231,1.9753654,17,CD8 T cells
2.123164,8.876932,6,CD4 T cells
6.3027043,8.576678,15,Tumor
3.6624455,4.2467027,7,CD8 T cells
2.848283,3.7244325,7,CD4 T cells
2.7263184,4.749212,0,Vessel
3.8753047,5.540366,16,CD4 T cells
4.426154,6.5414615,16,CD4 T cells
1.5372843,7.098032,3,Fibroblasts
5.420699,10.609862,8,Fibroblasts
-0.107734494,8.832692,12,Vessel
7.4914985,8.457694,19,Tumor
10.582011,6.225055,10,Tumor
1.320906,9.416917,3,Vessel
9.6351,5.5646486,10,Tumor
1.3377545,3.4084733,0,CD4 T cells
1.9942571,5.979816,13,Vessel
-1.4667807,8.176873,12,Vessel
0.44611478,8.740012,3,Tumor
4.424321,10.003413,15,Fibroblasts
7.5040545,5.9756584,1,Tumor
2.9718187,8.925947,6,Fibroblasts
-0.94436634,8.267017,12,Vessel
3.9475548,7.479486,16,other
3.3915584,7.1161275,16,CD4 T cells
3.2264943,2.4811509,17,CD8 T cells
-0.58472013,4.8525534,5,CD4 T cells
3.5534816,8.005898,16,other
5.5366793,12.073722,18,CD4 T cells
3.1257548,9.5470085,6,other
-0.35440028,4.9734626,5,Myeloid
2.6972456,2.073653,17,CD4 T cells
3.191404,10.825379,4,Vessel
4.130067,7.7152667,16,Vessel
0.80685323,3.692133,0,Vessel
2.0236328,7.7283134,13,Fibroblasts
1.5784259,9.002135,3,Fibroblasts
-0.15008757,6.0268407,13,Vessel
8.768266,6.306866,1,Tumor
2.6733873,11.346749,4,Vessel
7.823043,8.421346,11,Tumor
6.7461133,8.6181555,15,Tumor
0.14184336,7.3336134,2,Vessel
