cohort,cluster,cell_type,n_cells,n_cluster,n_type,expected,ratio_obs_over_exp,log2_enrichment,hypergeom_p,note,is_cand
UOP,4,CD8 T cells,84,16988,22976,1427.5964419475656,0.0588401578567994,-4.087055072704139,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,5,CD8 T cells,376,7302,22976,613.6278089887641,0.6127492830216318,-0.7066312038927446,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,6,CD8 T cells,195,23452,22976,1970.802434456929,0.0989444688065518,-3.33723712978236,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,7,CD8 T cells,7350,20353,22976,1710.376170411985,4.297300282328873,2.1034305917942984,0.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,8,CD8 T cells,190,8047,22976,676.2343164794007,0.2809676991684993,-1.8315238111599064,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,9,CD8 T cells,791,12945,22976,1087.8405898876404,0.7271285952675289,-0.459717562450179,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,10,CD8 T cells,562,17118,22976,1438.5210674157304,0.3906790193970672,-1.3559443142174472,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,11,CD8 T cells,332,13449,22976,1130.1945224719102,0.2937547416827544,-1.7673159555604172,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,12,CD8 T cells,35,12692,22976,1066.5795880149813,0.0328151789076882,-4.929492891108168,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",True
UOP,13,CD8 T cells,1525,24506,22976,2059.375936329588,0.7405155965442606,-0.4333979733906567,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,14,CD8 T cells,192,6062,22976,509.4236891385768,0.3768964892949273,-1.4077597381986702,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,15,CD8 T cells,40,11933,22976,1002.7965823970036,0.0398884486666151,-4.647885174258959,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,16,CD8 T cells,2215,16865,22976,1417.260065543071,1.5628747707297093,0.6442021834013943,1.2270177435278418e-101,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,17,CD8 T cells,5552,15039,22976,1263.811095505618,4.393061605285867,2.135226730939263,0.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,18,CD8 T cells,1316,4332,22976,364.0421348314607,3.614966164862383,1.8539821439914168,0.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,19,CD8 T cells,22,13442,22976,1129.6062734082398,0.0194758125179508,-5.682172671954227,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,0,Fibroblasts,266,10839,35512,1407.839448735955,0.1889419992022749,-2.4039846662899493,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,1,Fibroblasts,110,13671,35512,1775.6779318820224,0.061948170906991,-4.0127945040572754,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,2,Fibroblasts,233,9996,35512,1298.345154494382,0.1794592132865761,-2.4782721030699637,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,3,Fibroblasts,5677,14377,35512,1867.3777797284645,3.0400918665881806,1.6041149202046072,0.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,4,Fibroblasts,11199,16988,35512,2206.5113529962546,5.075432757140684,2.343530839039285,0.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,5,Fibroblasts,59,7302,35512,948.4310042134832,0.0622080043122669,-4.006755965710583,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,6,Fibroblasts,6820,23452,35512,3046.097495318352,2.238930306886724,1.162809620877522,0.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,7,Fibroblasts,253,20353,35512,2643.5793246722847,0.0957035779629436,-3.3852833276245224,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,8,Fibroblasts,1671,8047,35512,1045.1964243913858,1.5987425530784969,0.6769376390682917,1.9833433188665488e-86,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,9,Fibroblasts,307,12945,35512,1681.3803546348315,0.1825880736346984,-2.4533355610548333,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,10,Fibroblasts,29,17118,35512,2223.396594101124,0.0130431071437905,-6.260568598812843,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,11,Fibroblasts,108,13449,35512,1746.843135533708,0.0618258146957214,-4.015646844245915,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,12,Fibroblasts,678,12692,35512,1648.5190777153557,0.4112782249020887,-1.2818134044188332,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",True
UOP,13,Fibroblasts,1930,24506,35512,3182.997834737828,0.6063466267355998,-0.721785328074867,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,14,Fibroblasts,486,6062,35512,787.3717813670412,0.6172433550465867,-0.6960886948160874,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
